category,hairy,big,hard,fast,fierce,striped,strong,prob
horse,0,2,0,0,1,0,1,7.146575419641772e-7
horse,0,2,0,0,1,0,2,5.958646898397946e-7
horse,0,2,0,0,1,1,0,2.561508831849651e-7
horse,0,2,0,0,1,1,1,7.146575419641772e-7
horse,0,2,0,0,1,1,2,5.958646898397946e-7
horse,0,2,0,0,1,2,0,2.561508831849651e-7
horse,0,2,0,0,1,2,1,7.146575419641772e-7
horse,0,2,0,0,1,2,2,5.958646898397946e-7
horse,0,2,0,0,2,0,0,8.19737818028995e-8
horse,0,2,0,0,2,0,1,2.2649388150879968e-7
horse,0,2,0,0,2,0,2,1.9081698147548474e-7
horse,0,2,0,0,2,1,0,8.19737818028995e-8
horse,0,2,0,0,2,1,1,2.2649388150879968e-7
horse,0,2,0,0,2,1,2,1.9081698147548474e-7
horse,0,2,0,0,2,2,0,8.19737818028995e-8
horse,0,2,0,0,2,2,1,2.2649388150879968e-7
horse,0,2,0,0,2,2,2,1.9081698147548474e-7
horse,0,2,0,1,0,0,0,6.719892978673336e-7
horse,0,2,0,1,0,0,1,0.000001878839891357961
horse,0,2,0,1,0,0,2,0.0000015629680916463438
horse,0,2,0,1,0,1,0,6.719892978673336e-7
horse,0,2,0,1,0,1,1,0.000001878839891357961
horse,0,2,0,1,0,1,2,0.0000015629680916463438
horse,0,2,0,1,0,2,0,6.719892978673336e-7
horse,0,2,0,1,0,2,1,0.000001878839891357961
horse,0,2,0,1,0,2,2,0.0000015629680916463438
horse,0,2,0,1,1,0,0,2.561508831849651e-7
horse,0,2,0,1,1,0,1,7.146575419641772e-7
horse,0,2,0,1,1,0,2,5.958646898397946e-7
horse,0,2,0,1,1,1,0,2.561508831849651e-7
horse,0,2,0,1,1,1,1,7.146575419641772e-7
horse,0,2,0,1,1,1,2,5.958646898397946e-7
horse,0,2,0,1,1,2,0,2.561508831849651e-7
horse,0,2,0,1,1,2,1,7.146575419641772e-7
horse,0,2,0,1,1,2,2,5.958646898397946e-7
horse,0,2,0,1,2,0,0,8.19737818028995e-8
horse,0,2,0,1,2,0,1,2.2649388150879968e-7
horse,0,2,0,1,2,0,2,1.9081698147548474e-7
horse,0,2,0,1,2,1,0,8.19737818028995e-8
horse,0,2,0,1,2,1,1,2.2649388150879968e-7
horse,0,2,0,1,2,1,2,1.9081698147548474e-7
horse,0,2,0,1,2,2,0,8.19737818028995e-8
horse,0,2,0,1,2,2,1,2.2649388150879968e-7
horse,0,2,0,1,2,2,2,1.9081698147548474e-7
horse,0,2,0,2,0,0,0,6.719892978673336e-7
horse,0,2,0,2,0,0,1,0.000001878839891357961
horse,0,2,0,2,0,0,2,0.0000015629680916463438
horse,0,2,0,2,0,1,0,6.719892978673336e-7
horse,0,2,0,2,0,1,1,0.000001878839891357961
horse,0,2,0,2,0,1,2,0.0000015629680916463438
horse,0,2,0,2,0,2,0,6.719892978673336e-7
horse,0,2,0,2,0,2,1,0.000001878839891357961
horse,0,2,0,2,0,2,2,0.0000015629680916463438
horse,0,2,0,2,1,0,0,2.561508831849651e-7
horse,0,2,0,2,1,0,1,7.146575419641772e-7
horse,0,2,0,2,1,0,2,5.958646898397946e-7
horse,0,2,0,2,1,1,0,2.561508831849651e-7
horse,0,2,0,2,1,1,1,7.146575419641772e-7
horse,0,2,0,2,1,1,2,5.958646898397946e-7
horse,0,2,0,2,1,2,0,2.561508831849651e-7
horse,0,2,0,2,1,2,1,7.146575419641772e-7
horse,0,2,0,2,1,2,2,5.958646898397946e-7
horse,0,2,0,2,2,0,0,8.19737818028995e-8
horse,0,2,0,2,2,0,1,2.2649388150879968e-7
horse,0,2,0,2,2,0,2,1.9081698147548474e-7
horse,0,2,0,2,2,1,0,8.19737818028995e-8
horse,0,2,0,2,2,1,1,2.2649388150879968e-7
horse,0,2,0,2,2,1,2,1.9081698147548474e-7
horse,0,2,0,2,2,2,0,8.19737818028995e-8
horse,0,2,0,2,2,2,1,2.2649388150879968e-7
horse,0,2,0,2,2,2,2,1.9081698147548474e-7
horse,0,2,1,0,0,0,0,6.719892978673336e-7
horse,0,2,1,0,0,0,1,0.000001878839891357961
horse,0,2,1,0,0,0,2,0.0000015629680916463438
horse,0,2,1,0,0,1,0,6.719892978673336e-7
horse,0,2,1,0,0,1,1,0.000001878839891357961
horse,0,2,1,0,0,1,2,0.0000015629680916463438
horse,0,2,1,0,0,2,0,6.719892978673336e-7
horse,0,2,1,0,0,2,1,0.000001878839891357961
horse,0,2,1,0,0,2,2,0.0000015629680916463438
horse,0,2,1,0,1,0,0,2.561508831849651e-7
horse,0,2,1,0,1,0,1,7.146575419641772e-7
horse,0,2,1,0,1,0,2,5.958646898397946e-7
horse,0,2,1,0,1,1,0,2.561508831849651e-7
horse,0,2,1,0,1,1,1,7.146575419641772e-7
horse,0,2,1,0,1,1,2,5.958646898397946e-7
horse,0,2,1,0,1,2,0,2.561508831849651e-7
horse,0,2,1,0,1,2,1,7.146575419641772e-7
horse,0,2,1,0,1,2,2,5.958646898397946e-7
horse,0,2,1,0,2,0,0,8.19737818028995e-8
horse,0,2,1,0,2,0,1,2.2649388150879968e-7
horse,0,2,1,0,2,0,2,1.9081698147548474e-7
horse,0,2,1,0,2,1,0,8.19737818028995e-8
horse,0,2,1,0,2,1,1,2.2649388150879968e-7
horse,0,2,1,0,2,1,2,1.9081698147548474e-7
horse,0,2,1,0,2,2,0,8.19737818028995e-8
horse,0,2,1,0,2,2,1,2.2649388150879968e-7
horse,0,2,1,0,2,2,2,1.9081698147548474e-7
horse,0,2,1,1,0,0,0,6.719892978673336e-7
horse,0,2,1,1,0,0,1,0.000001878839891357961
horse,0,2,1,1,0,0,2,0.0000015629680916463438
horse,0,2,1,1,0,1,0,6.719892978673336e-7
horse,0,2,1,1,0,1,1,0.000001878839891357961
horse,0,2,1,1,0,1,2,0.0000015629680916463438
horse,0,2,1,1,0,2,0,6.719892978673336e-7
horse,0,2,1,1,0,2,1,0.000001878839891357961
horse,0,2,1,1,0,2,2,0.0000015629680916463438
horse,0,2,1,1,1,0,0,2.561508831849651e-7
horse,0,2,1,1,1,0,1,7.146575419641772e-7
horse,0,2,1,1,1,0,2,5.958646898397946e-7
horse,0,2,1,1,1,1,0,2.561508831849651e-7
horse,0,2,1,1,1,1,1,7.146575419641772e-7
horse,0,2,1,1,1,1,2,5.958646898397946e-7
horse,0,2,1,1,1,2,0,2.561508831849651e-7
horse,0,2,1,1,1,2,1,7.146575419641772e-7
horse,0,2,1,1,1,2,2,5.958646898397946e-7
horse,0,2,1,1,2,0,0,8.19737818028995e-8
horse,0,2,1,1,2,0,1,2.2649388150879968e-7
horse,0,2,1,1,2,0,2,1.9081698147548474e-7
horse,0,2,1,1,2,1,0,8.19737818028995e-8
horse,0,2,1,1,2,1,1,2.2649388150879968e-7
horse,0,2,1,1,2,1,2,1.9081698147548474e-7
horse,0,2,1,1,2,2,0,8.19737818028995e-8
horse,0,2,1,1,2,2,1,2.2649388150879968e-7
horse,0,2,1,1,2,2,2,1.9081698147548474e-7
horse,0,2,1,2,0,0,0,6.719892978673336e-7
horse,0,2,1,2,0,0,1,0.000001878839891357961
horse,0,2,1,2,0,0,2,0.0000015629680916463438
horse,0,2,1,2,0,1,0,6.719892978673336e-7
horse,0,2,1,2,0,1,1,0.000001878839891357961
horse,0,2,1,2,0,1,2,0.0000015629680916463438
horse,0,2,1,2,0,2,0,6.719892978673336e-7
horse,0,2,1,2,0,2,1,0.000001878839891357961
horse,0,2,1,2,0,2,2,0.0000015629680916463438
horse,0,2,1,2,1,0,0,2.561508831849651e-7
horse,0,2,1,2,1,0,1,7.146575419641772e-7
horse,0,2,1,2,1,0,2,5.958646898397946e-7
horse,0,2,1,2,1,1,0,2.561508831849651e-7
horse,0,2,1,2,1,1,1,7.146575419641772e-7
horse,0,2,1,2,1,1,2,5.958646898397946e-7
horse,0,2,1,2,1,2,0,2.561508831849651e-7
horse,0,2,1,2,1,2,1,7.146575419641772e-7
horse,0,2,1,2,1,2,2,5.958646898397946e-7
horse,0,2,1,2,2,0,0,8.19737818028995e-8
horse,0,2,1,2,2,0,1,2.2649388150879968e-7
horse,0,2,1,2,2,0,2,1.9081698147548474e-7
horse,0,2,1,2,2,1,0,8.19737818028995e-8
horse,0,2,1,2,2,1,1,2.2649388150879968e-7
horse,0,2,1,2,2,1,2,1.9081698147548474e-7
horse,0,2,1,2,2,2,0,8.19737818028995e-8
horse,0,2,1,2,2,2,1,2.2649388150879968e-7
horse,0,2,1,2,2,2,2,1.9081698147548474e-7
horse,0,2,2,0,0,0,0,6.719892978673336e-7
horse,0,2,2,0,0,0,1,0.000001878839891357961
horse,0,2,2,0,0,0,2,0.0000015629680916463438
horse,0,2,2,0,0,1,0,6.719892978673336e-7
horse,0,2,2,0,0,1,1,0.000001878839891357961
horse,0,2,2,0,0,1,2,0.0000015629680916463438
horse,0,2,2,0,0,2,0,6.719892978673336e-7
horse,0,2,2,0,0,2,1,0.000001878839891357961
horse,0,2,2,0,0,2,2,0.0000015629680916463438
horse,0,2,2,0,1,0,0,2.561508831849651e-7
horse,0,2,2,0,1,0,1,7.146575419641772e-7
horse,0,2,2,0,1,0,2,5.958646898397946e-7
horse,0,2,2,0,1,1,0,2.561508831849651e-7
horse,0,2,2,0,1,1,1,7.146575419641772e-7
horse,0,2,2,0,1,1,2,5.958646898397946e-7
horse,0,2,2,0,1,2,0,2.561508831849651e-7
horse,0,2,2,0,1,2,1,7.146575419641772e-7
horse,0,2,2,0,1,2,2,5.958646898397946e-7
horse,0,2,2,0,2,0,0,8.19737818028995e-8
horse,0,2,2,0,2,0,1,2.2649388150879968e-7
horse,0,2,2,0,2,0,2,1.9081698147548474e-7
horse,0,2,2,0,2,1,0,8.19737818028995e-8
horse,0,2,2,0,2,1,1,2.2649388150879968e-7
horse,0,2,2,0,2,1,2,1.9081698147548474e-7
horse,0,2,2,0,2,2,0,8.19737818028995e-8
horse,0,2,2,0,2,2,1,2.2649388150879968e-7
horse,0,2,2,0,2,2,2,1.9081698147548474e-7
horse,0,2,2,1,0,0,0,6.719892978673336e-7
horse,0,2,2,1,0,0,1,0.000001878839891357961
horse,0,2,2,1,0,0,2,0.0000015629680916463438
horse,0,2,2,1,0,1,0,6.719892978673336e-7
horse,0,2,2,1,0,1,1,0.000001878839891357961
horse,0,2,2,1,0,1,2,0.0000015629680916463438
horse,0,2,2,1,0,2,0,6.719892978673336e-7
horse,0,2,2,1,0,2,1,0.000001878839891357961
horse,0,2,2,1,0,2,2,0.0000015629680916463438
horse,0,2,2,1,1,0,0,2.561508831849651e-7
horse,0,2,2,1,1,0,1,7.146575419641772e-7
horse,0,2,2,1,1,0,2,5.958646898397946e-7
horse,0,2,2,1,1,1,0,2.561508831849651e-7
horse,0,2,2,1,1,1,1,7.146575419641772e-7
horse,0,2,2,1,1,1,2,5.958646898397946e-7
horse,0,2,2,1,1,2,0,2.561508831849651e-7
horse,0,2,2,1,1,2,1,7.146575419641772e-7
horse,0,2,2,1,1,2,2,5.958646898397946e-7
horse,0,2,2,1,2,0,0,8.19737818028995e-8
horse,0,2,2,1,2,0,1,2.2649388150879968e-7
horse,0,2,2,1,2,0,2,1.9081698147548474e-7
horse,0,2,2,1,2,1,0,8.19737818028995e-8
horse,0,2,2,1,2,1,1,2.2649388150879968e-7
horse,0,2,2,1,2,1,2,1.9081698147548474e-7
horse,0,2,2,1,2,2,0,8.19737818028995e-8
horse,0,2,2,1,2,2,1,2.2649388150879968e-7
horse,0,2,2,1,2,2,2,1.9081698147548474e-7
horse,0,2,2,2,0,0,0,6.719892978673336e-7
horse,0,2,2,2,0,0,1,0.000001878839891357961
horse,0,2,2,2,0,0,2,0.0000015629680916463438
horse,0,2,2,2,0,1,0,6.719892978673336e-7
horse,0,2,2,2,0,1,1,0.000001878839891357961
horse,0,2,2,2,0,1,2,0.0000015629680916463438
horse,0,2,2,2,0,2,0,6.719892978673336e-7
horse,0,2,2,2,0,2,1,0.000001878839891357961
horse,0,2,2,2,0,2,2,0.0000015629680916463438
horse,0,2,2,2,1,0,0,2.561508831849651e-7
horse,0,2,2,2,1,0,1,7.146575419641772e-7
horse,0,2,2,2,1,0,2,5.958646898397946e-7
horse,0,2,2,2,1,1,0,2.561508831849651e-7
horse,0,2,2,2,1,1,1,7.146575419641772e-7
horse,0,2,2,2,1,1,2,5.958646898397946e-7
horse,0,2,2,2,1,2,0,2.561508831849651e-7
horse,0,2,2,2,1,2,1,7.146575419641772e-7
horse,0,2,2,2,1,2,2,5.958646898397946e-7
horse,0,2,2,2,2,0,0,8.19737818028995e-8
horse,0,2,2,2,2,0,1,2.2649388150879968e-7
horse,0,2,2,2,2,0,2,1.9081698147548474e-7
horse,0,2,2,2,2,1,0,8.19737818028995e-8
horse,0,2,2,2,2,1,1,2.2649388150879968e-7
horse,0,2,2,2,2,1,2,1.9081698147548474e-7
horse,0,2,2,2,2,2,0,8.19737818028995e-8
horse,0,2,2,2,2,2,1,2.2649388150879968e-7
horse,0,2,2,2,2,2,2,1.9081698147548474e-7
horse,1,0,0,0,0,0,0,6.719892978673336e-7
horse,1,0,0,0,0,0,1,0.000001878839891357961
horse,1,0,0,0,0,0,2,0.0000015629680916463438
horse,1,0,0,0,0,1,0,6.719892978673336e-7
horse,1,0,0,0,0,1,1,0.000001878839891357961
horse,1,0,0,0,0,1,2,0.0000015629680916463438
horse,1,0,0,0,0,2,0,6.719892978673336e-7
horse,1,0,0,0,0,2,1,0.000001878839891357961
horse,1,0,0,0,0,2,2,0.0000015629680916463438
horse,1,0,0,0,1,0,0,2.561508831849651e-7
horse,1,0,0,0,1,0,1,7.146575419641772e-7
horse,1,0,0,0,1,0,2,5.958646898397946e-7
horse,1,0,0,0,1,1,0,2.561508831849651e-7
horse,1,0,0,0,1,1,1,7.146575419641772e-7
horse,1,0,0,0,1,1,2,5.958646898397946e-7
horse,1,0,0,0,1,2,0,2.561508831849651e-7
horse,1,0,0,0,1,2,1,7.146575419641772e-7
horse,1,0,0,0,1,2,2,5.958646898397946e-7
horse,1,0,0,0,2,0,0,8.19737818028995e-8
horse,1,0,0,0,2,0,1,2.2649388150879968e-7
horse,1,0,0,0,2,0,2,1.9081698147548474e-7
horse,1,0,0,0,2,1,0,8.19737818028995e-8
horse,1,0,0,0,2,1,1,2.2649388150879968e-7
horse,1,0,0,0,2,1,2,1.9081698147548474e-7
horse,1,0,0,0,2,2,0,8.19737818028995e-8
horse,1,0,0,0,2,2,1,2.2649388150879968e-7
horse,1,0,0,0,2,2,2,1.9081698147548474e-7
horse,1,0,0,1,0,0,0,6.719892978673336e-7
horse,1,0,0,1,0,0,1,0.000001878839891357961
horse,1,0,0,1,0,0,2,0.0000015629680916463438
horse,1,0,0,1,0,1,0,6.719892978673336e-7
horse,1,0,0,1,0,1,1,0.000001878839891357961
horse,1,0,0,1,0,1,2,0.0000015629680916463438
horse,1,0,0,1,0,2,0,6.719892978673336e-7
horse,1,0,0,1,0,2,1,0.000001878839891357961
horse,1,0,0,1,0,2,2,0.0000015629680916463438
horse,1,0,0,1,1,0,0,2.561508831849651e-7
horse,1,0,0,1,1,0,1,7.146575419641772e-7
horse,1,0,0,1,1,0,2,5.958646898397946e-7
horse,1,0,0,1,1,1,0,2.561508831849651e-7
horse,1,0,0,1,1,1,1,7.146575419641772e-7
horse,1,0,0,1,1,1,2,5.958646898397946e-7
horse,1,0,0,1,1,2,0,2.561508831849651e-7
horse,1,0,0,1,1,2,1,7.146575419641772e-7
horse,1,0,0,1,1,2,2,5.958646898397946e-7
horse,1,0,0,1,2,0,0,8.19737818028995e-8
horse,1,0,0,1,2,0,1,2.2649388150879968e-7
horse,1,0,0,1,2,0,2,1.9081698147548474e-7
horse,1,0,0,1,2,1,0,8.19737818028995e-8
horse,1,0,0,1,2,1,1,2.2649388150879968e-7
horse,1,0,0,1,2,1,2,1.9081698147548474e-7
horse,1,0,0,1,2,2,0,8.19737818028995e-8
horse,1,0,0,1,2,2,1,2.2649388150879968e-7
horse,1,0,0,1,2,2,2,1.9081698147548474e-7
horse,1,0,0,2,0,0,0,6.719892978673336e-7
horse,1,0,0,2,0,0,1,0.000001878839891357961
horse,1,0,0,2,0,0,2,0.0000015629680916463438
horse,1,0,0,2,0,1,0,6.719892978673336e-7
horse,1,0,0,2,0,1,1,0.000001878839891357961
horse,1,0,0,2,0,1,2,0.0000015629680916463438
horse,1,0,0,2,0,2,0,6.719892978673336e-7
horse,1,0,0,2,0,2,1,0.000001878839891357961
horse,1,0,0,2,0,2,2,0.0000015629680916463438
horse,1,0,0,2,1,0,0,2.561508831849651e-7
horse,1,0,0,2,1,0,1,7.146575419641772e-7
horse,1,0,0,2,1,0,2,5.958646898397946e-7
horse,1,0,0,2,1,1,0,2.561508831849651e-7
horse,1,0,0,2,1,1,1,7.146575419641772e-7
horse,1,0,0,2,1,1,2,5.958646898397946e-7
horse,1,0,0,2,1,2,0,2.561508831849651e-7
horse,1,0,0,2,1,2,1,7.146575419641772e-7
horse,1,0,0,2,1,2,2,5.958646898397946e-7
horse,1,0,0,2,2,0,0,8.19737818028995e-8
horse,1,0,0,2,2,0,1,2.2649388150879968e-7
horse,1,0,0,2,2,0,2,1.9081698147548474e-7
horse,1,0,0,2,2,1,0,8.19737818028995e-8
horse,1,0,0,2,2,1,1,2.2649388150879968e-7
horse,1,0,0,2,2,1,2,1.9081698147548474e-7
horse,1,0,0,2,2,2,0,8.19737818028995e-8
horse,1,0,0,2,2,2,1,2.2649388150879968e-7
horse,1,0,0,2,2,2,2,1.9081698147548474e-7
horse,1,0,1,0,0,0,0,6.719892978673336e-7
horse,1,0,1,0,0,0,1,0.000001878839891357961
horse,1,0,1,0,0,0,2,0.0000015629680916463438
horse,1,0,1,0,0,1,0,6.719892978673336e-7
horse,1,0,1,0,0,1,1,0.000001878839891357961
horse,1,0,1,0,0,1,2,0.0000015629680916463438
horse,1,0,1,0,0,2,0,6.719892978673336e-7
horse,1,0,1,0,0,2,1,0.000001878839891357961
horse,1,0,1,0,0,2,2,0.0000015629680916463438
horse,1,0,1,0,1,0,0,2.561508831849651e-7
horse,1,0,1,0,1,0,1,7.146575419641772e-7
horse,1,0,1,0,1,0,2,5.958646898397946e-7
horse,1,0,1,0,1,1,0,2.561508831849651e-7
horse,1,0,1,0,1,1,1,7.146575419641772e-7
horse,1,0,1,0,1,1,2,5.958646898397946e-7
horse,1,0,1,0,1,2,0,2.561508831849651e-7
horse,1,0,1,0,1,2,1,7.146575419641772e-7
horse,1,0,1,0,1,2,2,5.958646898397946e-7
horse,1,0,1,0,2,0,0,8.19737818028995e-8
horse,1,0,1,0,2,0,1,2.2649388150879968e-7
horse,1,0,1,0,2,0,2,1.9081698147548474e-7
horse,1,0,1,0,2,1,0,8.19737818028995e-8
horse,1,0,1,0,2,1,1,2.2649388150879968e-7
horse,1,0,1,0,2,1,2,1.9081698147548474e-7
horse,1,0,1,0,2,2,0,8.19737818028995e-8
horse,1,0,1,0,2,2,1,2.2649388150879968e-7
horse,1,0,1,0,2,2,2,1.9081698147548474e-7
horse,1,0,1,1,0,0,0,6.719892978673336e-7
horse,1,0,1,1,0,0,1,0.000001878839891357961
horse,1,0,1,1,0,0,2,0.0000015629680916463438
horse,1,0,1,1,0,1,0,6.719892978673336e-7
horse,1,0,1,1,0,1,1,0.000001878839891357961
horse,1,0,1,1,0,1,2,0.0000015629680916463438
horse,1,0,1,1,0,2,0,6.719892978673336e-7
horse,1,0,1,1,0,2,1,0.000001878839891357961
horse,1,0,1,1,0,2,2,0.0000015629680916463438
horse,1,0,1,1,1,0,0,2.561508831849651e-7
horse,1,0,1,1,1,0,1,7.146575419641772e-7
horse,1,0,1,1,1,0,2,5.958646898397946e-7
horse,1,0,1,1,1,1,0,2.561508831849651e-7
horse,1,0,1,1,1,1,1,7.146575419641772e-7
horse,1,0,1,1,1,1,2,5.958646898397946e-7
horse,1,0,1,1,1,2,0,2.561508831849651e-7
horse,1,0,1,1,1,2,1,7.146575419641772e-7
horse,1,0,1,1,1,2,2,5.958646898397946e-7
horse,1,0,1,1,2,0,0,8.19737818028995e-8
horse,1,0,1,1,2,0,1,2.2649388150879968e-7
horse,1,0,1,1,2,0,2,1.9081698147548474e-7
horse,1,0,1,1,2,1,0,8.19737818028995e-8
horse,1,0,1,1,2,1,1,2.2649388150879968e-7
horse,1,0,1,1,2,1,2,1.9081698147548474e-7
horse,1,0,1,1,2,2,0,8.19737818028995e-8
horse,1,0,1,1,2,2,1,2.2649388150879968e-7
horse,1,0,1,1,2,2,2,1.9081698147548474e-7
horse,1,0,1,2,0,0,0,6.719892978673336e-7
horse,1,0,1,2,0,0,1,0.000001878839891357961
horse,1,0,1,2,0,0,2,0.0000015629680916463438
horse,1,0,1,2,0,1,0,6.719892978673336e-7
horse,1,0,1,2,0,1,1,0.000001878839891357961
horse,1,0,1,2,0,1,2,0.0000015629680916463438
horse,1,0,1,2,0,2,0,6.719892978673336e-7
horse,1,0,1,2,0,2,1,0.000001878839891357961
horse,1,0,1,2,0,2,2,0.0000015629680916463438
horse,1,0,1,2,1,0,0,2.561508831849651e-7
horse,1,0,1,2,1,0,1,7.146575419641772e-7
horse,1,0,1,2,1,0,2,5.958646898397946e-7
horse,1,0,1,2,1,1,0,2.561508831849651e-7
horse,1,0,1,2,1,1,1,7.146575419641772e-7
horse,1,0,1,2,1,1,2,5.958646898397946e-7
horse,1,0,1,2,1,2,0,2.561508831849651e-7
horse,1,0,1,2,1,2,1,7.146575419641772e-7
horse,1,0,1,2,1,2,2,5.958646898397946e-7
horse,1,0,1,2,2,0,0,8.19737818028995e-8
horse,1,0,1,2,2,0,1,2.2649388150879968e-7
horse,1,0,1,2,2,0,2,1.9081698147548474e-7
horse,1,0,1,2,2,1,0,8.19737818028995e-8
horse,1,0,1,2,2,1,1,2.2649388150879968e-7
horse,1,0,1,2,2,1,2,1.9081698147548474e-7
horse,1,0,1,2,2,2,0,8.19737818028995e-8
horse,1,0,1,2,2,2,1,2.2649388150879968e-7
horse,1,0,1,2,2,2,2,1.9081698147548474e-7
horse,1,0,2,0,0,0,0,6.719892978673336e-7
horse,1,0,2,0,0,0,1,0.000001878839891357961
horse,1,0,2,0,0,0,2,0.0000015629680916463438
horse,1,0,2,0,0,1,0,6.719892978673336e-7
horse,1,0,2,0,0,1,1,0.000001878839891357961
horse,1,0,2,0,0,1,2,0.0000015629680916463438
horse,1,0,2,0,0,2,0,6.719892978673336e-7
horse,1,0,2,0,0,2,1,0.000001878839891357961
horse,1,0,2,0,0,2,2,0.0000015629680916463438
horse,1,0,2,0,1,0,0,2.561508831849651e-7
horse,1,0,2,0,1,0,1,7.146575419641772e-7
horse,1,0,2,0,1,0,2,5.958646898397946e-7
horse,1,0,2,0,1,1,0,2.561508831849651e-7
horse,1,0,2,0,1,1,1,7.146575419641772e-7
horse,1,0,2,0,1,1,2,5.958646898397946e-7
horse,1,0,2,0,1,2,0,2.561508831849651e-7
horse,1,0,2,0,1,2,1,7.146575419641772e-7
horse,1,0,2,0,1,2,2,5.958646898397946e-7
horse,1,0,2,0,2,0,0,8.19737818028995e-8
horse,1,0,2,0,2,0,1,2.2649388150879968e-7
horse,1,0,2,0,2,0,2,1.9081698147548474e-7
horse,1,0,2,0,2,1,0,8.19737818028995e-8
horse,1,0,2,0,2,1,1,2.2649388150879968e-7
horse,1,0,2,0,2,1,2,1.9081698147548474e-7
horse,1,0,2,0,2,2,0,8.19737818028995e-8
horse,1,0,2,0,2,2,1,2.2649388150879968e-7
horse,1,0,2,0,2,2,2,1.9081698147548474e-7
horse,1,0,2,1,0,0,0,6.719892978673336e-7
horse,1,0,2,1,0,0,1,0.000001878839891357961
horse,1,0,2,1,0,0,2,0.0000015629680916463438
horse,1,0,2,1,0,1,0,6.719892978673336e-7
horse,1,0,2,1,0,1,1,0.000001878839891357961
horse,1,0,2,1,0,1,2,0.0000015629680916463438
horse,1,0,2,1,0,2,0,6.719892978673336e-7
horse,1,0,2,1,0,2,1,0.000001878839891357961
horse,1,0,2,1,0,2,2,0.0000015629680916463438
horse,1,0,2,1,1,0,0,2.561508831849651e-7
horse,1,0,2,1,1,0,1,7.146575419641772e-7
horse,1,0,2,1,1,0,2,5.958646898397946e-7
horse,1,0,2,1,1,1,0,2.561508831849651e-7
horse,1,0,2,1,1,1,1,7.146575419641772e-7
horse,1,0,2,1,1,1,2,5.958646898397946e-7
horse,1,0,2,1,1,2,0,2.561508831849651e-7
horse,1,0,2,1,1,2,1,7.146575419641772e-7
horse,1,0,2,1,1,2,2,5.958646898397946e-7
horse,1,0,2,1,2,0,0,8.19737818028995e-8
horse,1,0,2,1,2,0,1,2.2649388150879968e-7
horse,1,0,2,1,2,0,2,1.9081698147548474e-7
horse,1,0,2,1,2,1,0,8.19737818028995e-8
horse,1,0,2,1,2,1,1,2.2649388150879968e-7
horse,1,0,2,1,2,1,2,1.9081698147548474e-7
horse,1,0,2,1,2,2,0,8.19737818028995e-8
horse,1,0,2,1,2,2,1,2.2649388150879968e-7
horse,1,0,2,1,2,2,2,1.9081698147548474e-7
horse,1,0,2,2,0,0,0,6.719892978673336e-7
horse,1,0,2,2,0,0,1,0.000001878839891357961
horse,1,0,2,2,0,0,2,0.0000015629680916463438
horse,1,0,2,2,0,1,0,6.719892978673336e-7
horse,1,0,2,2,0,1,1,0.000001878839891357961
horse,1,0,2,2,0,1,2,0.0000015629680916463438
horse,1,0,2,2,0,2,0,6.719892978673336e-7
horse,1,0,2,2,0,2,1,0.000001878839891357961
horse,1,0,2,2,0,2,2,0.0000015629680916463438
horse,1,0,2,2,1,0,0,2.561508831849651e-7
horse,1,0,2,2,1,0,1,7.146575419641772e-7
horse,1,0,2,2,1,0,2,5.958646898397946e-7
horse,1,0,2,2,1,1,0,2.561508831849651e-7
horse,1,0,2,2,1,1,1,7.146575419641772e-7
horse,1,0,2,2,1,1,2,5.958646898397946e-7
horse,1,0,2,2,1,2,0,2.561508831849651e-7
horse,1,0,2,2,1,2,1,7.146575419641772e-7
horse,1,0,2,2,1,2,2,5.958646898397946e-7
horse,1,0,2,2,2,0,0,8.19737818028995e-8
horse,1,0,2,2,2,0,1,2.2649388150879968e-7
horse,1,0,2,2,2,0,2,1.9081698147548474e-7
horse,1,0,2,2,2,1,0,8.19737818028995e-8
horse,1,0,2,2,2,1,1,2.2649388150879968e-7
horse,1,0,2,2,2,1,2,1.9081698147548474e-7
horse,1,0,2,2,2,2,0,8.19737818028995e-8
horse,1,0,2,2,2,2,1,2.2649388150879968e-7
horse,1,0,2,2,2,2,2,1.9081698147548474e-7
horse,1,1,0,0,0,0,0,6.719892978673336e-7
horse,1,1,0,0,0,0,1,0.000001878839891357961
horse,1,1,0,0,0,0,2,0.0000015629680916463438
horse,1,1,0,0,0,1,0,6.719892978673336e-7
horse,1,1,0,0,0,1,1,0.000001878839891357961
horse,1,1,0,0,0,1,2,0.0000015629680916463438
horse,1,1,0,0,0,2,0,6.719892978673336e-7
horse,1,1,0,0,0,2,1,0.000001878839891357961
horse,1,1,0,0,0,2,2,0.0000015629680916463438
horse,1,1,0,0,1,0,0,2.561508831849651e-7
horse,1,1,0,0,1,0,1,7.146575419641772e-7
horse,1,1,0,0,1,0,2,5.958646898397946e-7
horse,1,1,0,0,1,1,0,2.561508831849651e-7
horse,1,1,0,0,1,1,1,7.146575419641772e-7
horse,1,1,0,0,1,1,2,5.958646898397946e-7
horse,1,1,0,0,1,2,0,2.561508831849651e-7
horse,1,1,0,0,1,2,1,7.146575419641772e-7
horse,1,1,0,0,1,2,2,5.958646898397946e-7
horse,1,1,0,0,2,0,0,8.19737818028995e-8
horse,1,1,0,0,2,0,1,2.2649388150879968e-7
horse,1,1,0,0,2,0,2,1.9081698147548474e-7
